File Path,Type,Size,Token Estimate,Issues,Optimization Strategy,Priority,Effort,Action
domains/claude-code/patterns/claude-code-files-organization-001.yaml,YAML,1232 lines,~5500 tokens,"Large pattern file with multiple sub-patterns","SPLIT into 3-4 focused pattern files",High,45 min,SPLIT
domains/universal/patterns/kb-update.yaml,YAML,1186 lines,~5300 tokens,"Comprehensive KB update workflow","SPLIT into update-pattern.yaml, validation-pattern.yaml, sync-pattern.yaml",High,45 min,SPLIT
domains/postgresql/errors.yaml,YAML,972 lines,~4400 tokens,"Many PostgreSQL error entries","Review for split opportunities by error type",Medium,30 min,REVIEW
domains/universal/patterns/github-workflow.yaml,YAML,864 lines,~3900 tokens,"GitHub workflow patterns","SPLIT by workflow type (PR, issues, release)",Medium,30 min,SPLIT
domains/universal/agent-instructions/base-instructions.yaml,YAML,797 lines,~3600 tokens,"Base instructions for agents","Use progressive disclosure for sections",Medium,30 min,PROGRESSIVE_DISCLOSURE
domains/universal/patterns/quality-assurance.yaml,YAML,631 lines,~2800 tokens,"Quality assurance patterns","SPLIT into validation.yaml, testing.yaml, review.yaml",Medium,30 min,SPLIT
domains/universal/patterns/agent-auto-configuration.yaml,YAML,629 lines,~2800 tokens,"Agent auto-configuration patterns","Consider splitting by feature",Medium,30 min,REVIEW
domains/claude-code/patterns/claude-code-shared-model.yaml,YAML,626 lines,~2800 tokens,"Shared model pattern","Optimize with progressive disclosure",Low,20 min,OPTIMIZE
domains/universal/patterns/skill-design.yaml,YAML,583 lines,~2600 tokens,"Skill design patterns","SPLIT by skill type or use progressive disclosure",Medium,30 min,SPLIT
domains/framework/fastapi/patterns/websocket.yaml,YAML,555 lines,~2500 tokens,"WebSocket patterns","SPLIT by error type or use progressive disclosure",Medium,30 min,SPLIT
domains/universal/patterns/isolated-testing.yaml,YAML,552 lines,~2500 tokens,"Testing patterns","Review for split opportunities",Low,20 min,REVIEW
domains/universal/patterns/agent-orchestration.yaml,YAML,549 lines,~2500 tokens,"Agent orchestration patterns","Split by orchestration type",Medium,30 min,SPLIT
domains/universal/patterns/progressive-disclosure.yaml,YAML,534 lines,~2400 tokens,"Progressive disclosure patterns","Keep as-is (meta-pattern)",Low,0 min,KEEP
domains/universal/patterns/AGENT-PROJECT-MANAGER-001.yaml,YAML,532 lines,~2400 tokens,"Project manager pattern","Optimize with progressive disclosure",Low,20 min,OPTIMIZE
domains/universal/patterns/agent-handoff.yaml,YAML,510 lines,~2300 tokens,"Agent handoff patterns","Keep as-is (critical pattern)",Low,0 min,KEEP
docs/guides/integration/SUBMODULE_VS_CLONE.md,MD,695 lines,~3100 tokens,"Comprehensive comparison guide","Use progressive disclosure with examples",Medium,30 min,PROGRESSIVE_DISCLOSURE
docs/guides/installation/HARMONIZED-INSTALLATION-GUIDE.md,MD,638 lines,~2900 tokens,"Installation guide","SPLIT by installation method",Medium,30 min,SPLIT
docs/guides/integration/AGENT_AUTOCONFIG_GUIDE.md,MD,617 lines,~2800 tokens,"Auto-configuration guide","Use progressive disclosure",Low,20 min,PROGRESSIVE_DISCLOSURE
docs/v5.1/MIGRATION-GUIDE.md,MD,640 lines,~2900 tokens,"Migration guide (historical)","ARCHIVE after migration period",Low,15 min,ARCHIVE
docs/v5.1/INFORMATION-RETRIEVAL.md,MD,596 lines,~2700 tokens,"Information retrieval documentation","Use progressive disclosure",Low,20 min,PROGRESSIVE_DISCLOSURE
docs/v5.1/CONTEXT_SCHEMA.md,MD,559 lines,~2500 tokens,"Context schema documentation","Keep as-is (technical reference)",Low,0 min,KEEP
docs/v5.1/WORKFLOWS.md,MD,502 lines,~2300 tokens,"Workflow documentation","Use progressive disclosure",Low,20 min,PROGRESSIVE_DISCLOSURE
docs/v5.1/examples/information-retrieval-examples.md,MD,526 lines,~2400 tokens,"Example documentation","Keep as-is (examples)",Low,0 min,KEEP
docs/v5.1/FEEDBACK-LOOP.md,MD,527 lines,~2400 tokens,"Feedback loop documentation","Use progressive disclosure",Low,20 min,PROGRESSIVE_DISCLOSURE
docs/integration/for-claude-code/AGENT-UPDATE-INSTRUCTIONS.md,MD,592 lines,~2700 tokens,"Agent update instructions","SPLIT into quick-start + detailed guide",Medium,30 min,SPLIT
docs/integration/for-claude-code/README.md,MD,503 lines,~2300 tokens,"Integration README","Use progressive disclosure",Low,20 min,PROGRESSIVE_DISCLOSURE
docs/guides/workflows/PULL_REQUEST_WORKFLOW.md,MD,524 lines,~2400 tokens,"PR workflow guide","Use progressive disclosure",Low,20 min,PROGRESSIVE_DISCLOSURE
docs/archive/ENTERPRISE-KNOWLEDGE-GRAPH.md,MD,927 lines,~4200 tokens,"Archived enterprise doc","Keep as-is (archive)",Low,0 min,KEEP
docs/archive/SETUP_GUIDE_FOR_CLAUDE.md,MD,705 lines,~3200 tokens,"Archived setup guide","Keep as-is (archive)",Low,0 min,KEEP
docs/archive/COMPREHENSIVE-TEST-REPORT.md,MD,607 lines,~2700 tokens,"Archived test report","Keep as-is (archive)",Low,0 min,KEEP
docs/archive/README_INTEGRATION.md,MD,549 lines,~2500 tokens,"Archived integration README","Keep as-is (archive)",Low,0 min,KEEP
docs/archive/BOOTSTRAP-GUIDE.md,MD,581 lines,~2600 tokens,"Archived bootstrap guide","Keep as-is (archive)",Low,0 min,KEEP
domains/claude-code/agent-instructions/subagents/KNOWLEDGE-CURATOR.md,MD,709 lines,~3200 tokens,"Subagent instructions","Use progressive disclosure",Medium,30 min,PROGRESSIVE_DISCLOSURE
domains/claude-code/agent-instructions/subagents/README.md,MD,706 lines,~3200 tokens,"Subagents overview","SPLIT into individual subagent docs",Medium,45 min,SPLIT
domains/claude-code/agent-instructions/subagents/VALIDATOR.md,MD,601 lines,~2700 tokens,"Validator subagent","Use progressive disclosure",Low,20 min,PROGRESSIVE_DISCLOSURE
domains/claude-code/agent-instructions/subagents/RESEARCHER.md,MD,568 lines,~2600 tokens,"Researcher subagent","Use progressive disclosure",Low,20 min,PROGRESSIVE_DISCLOSURE
domains/claude-code/agent-instructions/subagents/DEBUGGER.md,MD,501 lines,~2300 tokens,"Debugger subagent","Keep as-is (focused)",Low,0 min,KEEP
domains/claude-code/agent-instructions/claude-code-expert.yaml,YAML,611 lines,~2700 tokens,"Expert instructions","Use progressive disclosure",Low,20 min,PROGRESSIVE_DISCLOSURE
domains/claude-code/commands/review-claude-setup.md,MD,524 lines,~2400 tokens,"Command documentation","Keep as-is (focused)",Low,0 min,KEEP
domains/claude-code/commands/optimize-tokens.md,MD,517 lines,~2300 tokens,"Token optimization guide","Keep as-is (focused)",Low,0 min,KEEP
agents/curator/QUALITY_STANDARDS.md,MD,522 lines,~2400 tokens,"Quality standards","Keep as-is (critical reference)",Low,0 min,KEEP
ARCHITECTURE_ANALYSIS_REPORT.md,MD,690 lines,~3100 tokens,"Analysis report","ARCHIVE - Historical analysis",Low,5 min,ARCHIVE
ANALYSIS-AGENT4-SUMMARY.md,MD,726 lines,~3300 tokens,"Agent 4 analysis","ARCHIVE - Historical analysis",Low,5 min,ARCHIVE
ANALYSIS_AGENT3_TOOLS_REPORT.md,MD,541 lines,~2400 tokens,"Agent 3 tools report","ARCHIVE - Historical analysis",Low,5 min,ARCHIVE
AGENT2-ANALYSIS-REPORT.md,MD,571 lines,~2600 tokens,"Agent 2 analysis","ARCHIVE - Historical analysis",Low,5 min,ARCHIVE
ANALYSIS-EXECUTIVE-SUMMARY.md,MD,unknown,~1500 tokens,"Analysis summary","ARCHIVE - Historical analysis",Low,5 min,ARCHIVE
ANALYSIS_SUMMARY.md,MD,unknown,~1500 tokens,"Analysis summary","ARCHIVE - Historical analysis",Low,5 min,ARCHIVE
ANALYSIS_INDEX.md,MD,unknown,~1000 tokens,"Analysis index","ARCHIVE - Historical analysis",Low,5 min,ARCHIVE
.legacy/docs/research/claude-code/,DIR,48 files,~35000 tokens,"70K lines of legacy research docs","EXTRACT useful content then DELETE entire directory",Critical,2 hours,EXTRACT+DELETE
.legacy/tools/init-kb.sh,SH,439 lines,~2000 tokens,"One-time initialization script","DELETE - Initialization complete",Critical,5 min,DELETE
.legacy/tools/migrations/migrate-to-v5.1.sh,SH,313 lines,~1400 tokens,"One-time migration script","DELETE - Migration complete",Critical,5 min,DELETE
.claude/hooks/session-start.sh,SH,147 lines,~650 tokens,"Session start hook","Keep as-is (active)",Low,0 min,KEEP
.claude/hooks/quality-gate.sh,SH,87 lines,~400 tokens,"Quality gate hook","Keep as-is (active)",Low,0 min,KEEP
.claude/hooks/validate-metadata.sh,SH,58 lines,~260 tokens,"Metadata validation hook","Keep as-is (active)",Low,0 min,KEEP
.claude/hooks/validate-yaml-before-write.sh,SH,57 lines,~260 tokens,"YAML validation hook","Keep as-is (active)",Low,0 min,KEEP
.claude/hooks/validate-yaml-before-edit.sh,SH,47 lines,~210 tokens,"YAML validation hook","Keep as-is (active)",Low,0 min,KEEP
.claude/hooks/auto-format-yaml.sh,SH,50 lines,~220 tokens,"Auto-format hook","Keep as-is (active)",Low,0 min,KEEP
.claude/hooks/check-index.sh,SH,41 lines,~180 tokens,"Index check hook","Keep as-is (active)",Low,0 min,KEEP
.claude/hooks/auto-create-metadata.sh,SH,135 lines,~600 tokens,"Auto-create metadata hook","Keep as-is (active)",Low,0 min,KEEP
.claude/CLAUDE.md,MD,~300 lines,~1400 tokens,"Main CLAUDE instructions","Keep as-is (optimal length)",Low,0 min,KEEP
README.md,MD,~400 lines,~1800 tokens,"Project README","Keep as-is (well-structured)",Low,0 min,KEEP
docs/README.md,MD,unknown,~2000 tokens,"Documentation README","Use progressive disclosure if large",Low,15 min,REVIEW
docs/guides/integration/,DIR,10 files,~15000 tokens,"Integration guides","REVIEW for consolidation opportunities",Medium,1 hour,REVIEW
docs/v5.1/,DIR,8 files,~18000 tokens,"v5.1 documentation","KEEP - Current version docs",Low,0 min,KEEP
domains/claude-code/agent-instructions/,DIR,6 files,~15000 tokens,"Agent instructions","REVIEW for split opportunities",Medium,45 min,REVIEW
domains/claude-code/patterns/,DIR,15 files,~25000 tokens,"Claude Code patterns","REVIEW large files for splitting",Medium,1 hour,REVIEW
domains/universal/patterns/,DIR,35 files,~80000 tokens,"Universal patterns","SPLIT files >500 lines",High,2 hours,SPLIT
agents/curator/,DIR,15 files,~35000 tokens,"Curator agent docs","SPLIT large metadata files",High,2 hours,SPLIT
2026-01-08-caveat-the-messages-below-were-generated-by-the-u.txt,TXT,2726 lines,~12000 tokens,"Temporary conversation dump","DELETE immediately",Critical,5 min,DELETE
agents/curator/metadata/PHASE3.md,MD,unknown,~1000 tokens,"Phase 3 documentation","ARCHIVE if phase complete",Low,5 min,ARCHIVE
CLEANUP-QUICK-REFERENCE.md,MD,unknown,~1500 tokens,"Cleanup reference","ARCHIVE if cleanup complete",Low,5 min,ARCHIVE
KB-QUALITY-QUICK-REFERENCE.md,MD,unknown,~1500 tokens,"Quality reference","Keep as-is (reference)",Low,0 min,KEEP
MIGRATION-REPORT.md,MD,unknown,~1000 tokens,"Migration report","ARCHIVE - Historical",Low,5 min,ARCHIVE
