File Path,Type,Size,Quality Score,Schema Score,Issues,Recommendations,Priority,Effort,Action
domains\universal\patterns\agent-collaboration-workflow.yaml,YAML,311,0,0,"['Parse error: while parsing a block collection\n  in "T:\\Code\\shared-knowledge-base\\domains\\universal\\patterns\\agent-collaboration-workflow.yaml", line 269, column 9\nexpected <block end>, but found \'<scalar>\'\n  in "T:\\Code\\shared-knowledge-base\\domains\\universal\\patterns\\agent-collaboration-workflow.yaml", line 271, column 50']","Fix YAML syntax",Critical,30 min,DELETE
domains\universal\patterns\AGENT-DATABASE-ENGINEER-001.yaml,YAML,395,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\agent-direct-submodule-access.yaml,YAML,340,75,100,"Solution not structured as dict with code/explanation","Quality: 75/100, Schema: 100/100",Low,15 min,STANDARDIZE
domains\universal\patterns\AGENT-FRONTEND-ENGINEER-001.yaml,YAML,415,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\agent-handoff-failures.yaml,YAML,439,75,100,"Solution not structured as dict with code/explanation","Quality: 75/100, Schema: 100/100",Low,15 min,STANDARDIZE
domains\universal\patterns\agent-handoff.yaml,YAML,510,55,100,"Missing solution explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\agent-kb-workflow.yaml,YAML,345,75,100,"Missing solution explanation","Quality: 75/100, Schema: 100/100",Low,15 min,STANDARDIZE
domains\universal\patterns\AGENT-ORCHESTRATION-001.yaml,YAML,412,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\agent-orchestration.yaml,YAML,549,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\AGENT-PROJECT-MANAGER-001.yaml,YAML,532,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\agent-role-separation.yaml,YAML,448,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\AGENT-SECURITY-REVIEWER-001.yaml,YAML,104,50,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 50/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\agent-task-tracking.yaml,YAML,356,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\AGENT-TECH-LEAD-001.yaml,YAML,399,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\AGENT-UX-ENGINEER-001.yaml,YAML,94,50,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 50/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\ai-service-files-integration.yaml,YAML,230,55,95,"Stale last_updated: 2025-01-06 (>6 months); Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 95/100",High,30 min,MERGE
domains\universal\patterns\build-automation.yaml,YAML,318,0,85,"Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 85/100",High,5 min,DELETE
T:\Code\shared-knowledge-base\domains\universal\patterns\clean-architecture.yaml,YAML,0,0,0,"Analysis error: 0","Review file manually",Critical,Unknown,DELETE
domains\universal\patterns\curator-decision-framework.yaml,YAML,413,50,100,"Missing solution entirely; Missing prevention section","Quality: 50/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\curator-issue-triage.yaml,YAML,327,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\debugging-port-conflicts.yaml,YAML,367,70,100,"Missing solution entirely","Quality: 70/100, Schema: 100/100",Medium,20 min,UPDATE
domains\universal\patterns\debugging-port-conflicts_meta.yaml,YAML,105,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\universal\patterns\DEV-DOCS-SYSTEM-001.yaml,YAML,390,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\doc-synchronization.yaml,YAML,400,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\DOCUMENTATION-HIERARCHY-001.yaml,YAML,212,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\documentation-organization-001.yaml,YAML,148,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\documentation-reorganization.yaml,YAML,179,55,95,"Stale last_updated: 2025-01-06 (>6 months); Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 95/100",High,30 min,MERGE
domains\universal\patterns\DOCUMENTATION-TRANSLATION-001.yaml,YAML,178,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\filesystem-management.yaml,YAML,313,50,85,"Missing version field; Missing last_updated field; Solution not structured as dict with code/explanation; Missing prevention section","Quality: 50/100, Schema: 85/100",High,30 min,MERGE
domains\universal\patterns\filesystem-management_meta.yaml,YAML,105,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\universal\patterns\forgotten-git-push.yaml,YAML,470,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\git-submodule-init.yaml,YAML,250,75,95,"Stale last_updated: 2025-01-06 (>6 months); Solution not structured as dict with code/explanation","Quality: 75/100, Schema: 95/100",Low,15 min,STANDARDIZE
domains\universal\patterns\git-workflow.yaml,YAML,300,0,85,"Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 85/100",High,5 min,DELETE
domains\universal\patterns\git-workflow_meta.yaml,YAML,21,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\universal\patterns\github-agent-attribution.yaml,YAML,488,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\github-workflow.yaml,YAML,864,65,100,"Missing solution entirely","Quality: 65/100, Schema: 100/100",Medium,20 min,UPDATE
domains\universal\patterns\HOOK-PATTERNS-001.yaml,YAML,257,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\isolated-testing.yaml,YAML,552,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\kb-indexing.yaml,YAML,389,70,100,"Missing solution entirely","Quality: 70/100, Schema: 100/100",Medium,20 min,UPDATE
domains\universal\patterns\kb-migration.yaml,YAML,322,55,100,"Missing solution explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\kb-update.yaml,YAML,1186,55,95,"Unusual version: 1.1; Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 95/100",High,30 min,MERGE
domains\universal\patterns\llm-context-exhaustion.yaml,YAML,279,75,95,"Stale last_updated: 2025-01-06 (>6 months); Solution not structured as dict with code/explanation","Quality: 75/100, Schema: 95/100",Low,15 min,STANDARDIZE
domains\universal\patterns\mcp-integration.yaml,YAML,450,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\MCP-MEMORY-001.yaml,YAML,69,50,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 50/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\MCP-PLAYWRIGHT-001.yaml,YAML,81,50,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 50/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\MCP-SEQUENTIAL-THINKING-001.yaml,YAML,59,50,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 50/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\MCP-SERENA-001.yaml,YAML,60,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\MODULAR-SKILLS-001.yaml,YAML,243,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\PM2-PROCESS-MANAGEMENT-001.yaml,YAML,289,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\pr-review-process.yaml,YAML,416,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\PROGRESSIVE-DISCLOSURE-001.yaml,YAML,133,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\progressive-disclosure.yaml,YAML,534,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\project-organization.yaml,YAML,378,55,100,"Missing solution explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\quality-assurance.yaml,YAML,631,50,100,"Missing solution entirely; Missing prevention section","Quality: 50/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\SCRIPTS-IN-SKILLS-001.yaml,YAML,338,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\shared-kb-yaml-format.yaml,YAML,279,75,95,"Stale last_updated: 2025-01-06 (>6 months); Solution not structured as dict with code/explanation","Quality: 75/100, Schema: 95/100",Low,15 min,STANDARDIZE
domains\universal\patterns\skill-design.yaml,YAML,583,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\SKILL-RULES-JSON-001.yaml,YAML,148,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\SPECIALIZED-AGENTS-001.yaml,YAML,306,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\stale-context.yaml,YAML,189,75,100,"Solution not structured as dict with code/explanation","Quality: 75/100, Schema: 100/100",Low,15 min,STANDARDIZE
domains\universal\patterns\submodule-status-interpretation.yaml,YAML,336,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
domains\universal\patterns\unified-installation-001.yaml,YAML,119,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\universal\patterns\yaml-syntax.yaml,YAML,289,50,100,"Missing solution entirely; Missing prevention section","Quality: 50/100, Schema: 100/100",High,30 min,MERGE
domains\python\errors\csrf-auth.yaml,YAML,279,70,80,"Error 0: Missing solution; Missing solution entirely","Quality: 70/100, Schema: 80/100",Medium,20 min,UPDATE
domains\python\errors\csrf-auth_meta.yaml,YAML,77,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\python\errors\imports.yaml,YAML,240,95,57,"Error 1: Invalid scope fastapi; Error 1: Missing solution; Error 2: Missing solution","Quality: 95/100, Schema: 57/100",High,30 min,MERGE
domains\python\errors\imports_meta.yaml,YAML,133,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\python\errors\testing.yaml,YAML,312,60,0,"Error 0: Missing scope; Error 0: Missing solution; Error 1: Missing scope; Error 1: Missing solution; Error 2: Missing scope; Error 2: Missing solution; Error 3: Missing scope; Error 3: Missing solution; Error 4: Missing scope; Error 4: Missing solution; Error 5: Missing scope; Missing solution entirely; Missing scope","Quality: 60/100, Schema: 0/100",High,5 min,DELETE
domains\python\errors\testing_meta.yaml,YAML,189,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\python\errors\type-checking.yaml,YAML,213,75,0,"Error 0: Invalid ID format PY-TYPE-001 (expected CATEGORY-NNN); Error 0: Missing scope; Error 1: Invalid ID format PY-TYPE-002 (expected CATEGORY-NNN); Error 1: Missing scope; Error 1: Missing solution; Error 2: Invalid ID format PY-TYPE-003 (expected CATEGORY-NNN); Error 2: Missing scope; Error 2: Missing solution; Error 3: Invalid ID format PY-TYPE-004 (expected CATEGORY-NNN); Error 3: Missing scope; Error 3: Missing solution; Missing scope","Quality: 75/100, Schema: 0/100",High,5 min,DELETE
domains\python\errors\type-checking_meta.yaml,YAML,133,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\postgresql\errors\disk-space-issues.yaml,YAML,362,0,70,"Missing version field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\postgresql\errors\disk-space-issues_meta.yaml,YAML,21,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\postgresql\patterns\migration-upgrade.yaml,YAML,359,15,100,"Missing problem description; Missing solution entirely; Missing prevention section; Missing tags; Missing severity; Missing scope","Quality: 15/100, Schema: 100/100",High,5 min,DELETE
domains\postgresql\patterns\performance-tuning.yaml,YAML,202,15,100,"Missing problem description; Missing solution entirely; Missing prevention section; Missing tags; Missing severity; Missing scope","Quality: 15/100, Schema: 100/100",High,5 min,DELETE
domains\javascript\errors\async-errors.yaml,YAML,68,40,25,"Error 0: Invalid ID format JS-ASYNC-001 (expected CATEGORY-NNN); Error 0: Missing solution; Error 1: Invalid ID format JS-ASYNC-002 (expected CATEGORY-NNN); Error 1: Missing solution; Error 2: Invalid ID format JS-ASYNC-003 (expected CATEGORY-NNN); Error 2: Missing solution; Missing solution entirely; Missing prevention section","Quality: 40/100, Schema: 25/100",High,5 min,DELETE
domains\javascript\errors\async-errors_meta.yaml,YAML,105,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\javascript\errors\iife-scope-errors.yaml,YAML,41,55,95,"Error 0: Invalid ID format JS-IIFE-001 (expected CATEGORY-NNN); Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 95/100",High,30 min,MERGE
domains\javascript\patterns\bookmarklet-patterns.yaml,YAML,207,0,85,"Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 85/100",High,5 min,DELETE
T:\Code\shared-knowledge-base\domains\framework\fastapi\patterns\websocket.yaml,YAML,0,0,0,"Analysis error: 0","Review file manually",Critical,Unknown,DELETE
domains\docker\errors\best-practices.yaml,YAML,59,45,65,"Missing version field; Missing last_updated field; Error 0: Missing solution; Missing solution entirely; Missing prevention section","Quality: 45/100, Schema: 65/100",High,30 min,MERGE
domains\docker\errors\best-practices_meta.yaml,YAML,49,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\docker\errors\common-errors.yaml,YAML,68,40,40,"Error 0: Missing solution; Error 1: Missing solution; Error 2: Missing solution; Missing solution entirely; Missing prevention section","Quality: 40/100, Schema: 40/100",High,30 min,MERGE
domains\docker\errors\common-errors_meta.yaml,YAML,105,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\docker\errors\docker-best-practices.yaml,YAML,144,45,20,"Error 0: Missing solution; Error 1: Missing solution; Error 2: Missing solution; Error 3: Missing solution; Missing solution entirely; Missing prevention section","Quality: 45/100, Schema: 20/100",High,5 min,DELETE
domains\docker\errors\docker-best-practices_meta.yaml,YAML,133,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\docker\errors\docker-network-errors.yaml,YAML,98,35,60,"Missing version field; Missing last_updated field; Error 0: Missing scope; Error 0: Missing solution; Missing solution entirely; Missing prevention section; Missing tags; Missing scope","Quality: 35/100, Schema: 60/100",High,5 min,DELETE
domains\docker\errors\docker-network-errors_meta.yaml,YAML,49,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\docker\errors\docker-security.yaml,YAML,123,45,40,"Error 0: Missing solution; Error 1: Missing solution; Error 2: Missing solution; Missing solution entirely; Missing prevention section","Quality: 45/100, Schema: 40/100",High,30 min,MERGE
domains\docker\errors\docker-security_meta.yaml,YAML,105,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\docker\errors\docker-volume-mounts.yaml,YAML,149,35,35,"Missing version field; Missing last_updated field; Error 0: Missing scope; Error 0: Missing solution; Error 1: Missing scope; Error 1: Missing solution; Missing solution entirely; Missing prevention section; Missing tags; Missing scope","Quality: 35/100, Schema: 35/100",High,5 min,DELETE
domains\docker\errors\docker-volume-mounts_meta.yaml,YAML,77,0,70,"Missing category field; Missing last_updated field; Missing both errors and patterns sections; No entries found","Quality: 0/100, Schema: 70/100",High,5 min,DELETE
domains\docker\errors\emoji-encoding-powershell.yaml,YAML,196,95,100,"No issues found","Quality: 95/100, Schema: 100/100",Low,5 min,KEEP
domains\claude-code\agent-instructions\claude-code-expert.yaml,YAML,611,0,0,"['Parse error: while scanning an alias\n  in "T:\\Code\\shared-knowledge-base\\domains\\claude-code\\agent-instructions\\claude-code-expert.yaml", line 7, column 1\nexpected alphabetic or numeric character, but found \'*\'\n  in "T:\\Code\\shared-knowledge-base\\domains\\claude-code\\agent-instructions\\claude-code-expert.yaml", line 7, column 2']","Fix YAML syntax",Critical,30 min,DELETE
domains\claude-code\agent-instructions\kb-curator.yaml,YAML,372,0,0,"['Parse error: expected \'<document start>\', but found \'<block sequence start>\'\n  in "T:\\Code\\shared-knowledge-base\\domains\\claude-code\\agent-instructions\\kb-curator.yaml", line 7, column 1']","Fix YAML syntax",Critical,30 min,DELETE
domains\claude-code\errors\AGENTS-GUIDE-004.yaml,YAML,125,75,92,"Error 0: Invalid ID format AGENTS-GUIDE-004 (expected CATEGORY-NNN); Error 0: Invalid scope claude-code; Missing prevention section","Quality: 75/100, Schema: 92/100",Medium,30 min,EXPAND
domains\claude-code\errors\CLAUDE-MD-001.yaml,YAML,125,80,92,"Error 0: Invalid ID format CLAUDE-MD-001 (expected CATEGORY-NNN); Error 0: Invalid scope claude-code; Missing prevention section","Quality: 80/100, Schema: 92/100",Medium,30 min,EXPAND
domains\claude-code\errors\HOOKS-GUIDE-002.yaml,YAML,137,75,92,"Error 0: Invalid ID format HOOKS-GUIDE-002 (expected CATEGORY-NNN); Error 0: Invalid scope claude-code; Missing prevention section","Quality: 75/100, Schema: 92/100",Medium,30 min,EXPAND
domains\claude-code\errors\PERMISSION-MODES-005.yaml,YAML,142,80,92,"Error 0: Invalid ID format PERMISSION-MODES-005 (expected CATEGORY-NNN); Error 0: Invalid scope claude-code; Missing prevention section","Quality: 80/100, Schema: 92/100",Medium,30 min,EXPAND
domains\claude-code\errors\SKILLS-GUIDE-003.yaml,YAML,135,75,92,"Error 0: Invalid ID format SKILLS-GUIDE-003 (expected CATEGORY-NNN); Error 0: Invalid scope claude-code; Missing prevention section","Quality: 75/100, Schema: 92/100",Medium,30 min,EXPAND
domains\claude-code\patterns\CLAUDE-CODE-AUTO-ACTIVATION-001.yaml,YAML,160,100,100,"No issues found","Quality: 100/100, Schema: 100/100",Low,5 min,KEEP
domains\claude-code\patterns\claude-code-files-organization-001.yaml,YAML,1232,80,100,"Missing prevention section","Quality: 80/100, Schema: 100/100",Medium,30 min,EXPAND
domains\claude-code\patterns\claude-code-hooks.yaml,YAML,453,0,0,"['Parse error: mapping values are not allowed here\n  in "T:\\Code\\shared-knowledge-base\\domains\\claude-code\\patterns\\claude-code-hooks.yaml", line 269, column 23']","Fix YAML syntax",Critical,30 min,DELETE
domains\claude-code\patterns\claude-code-shared-model.yaml,YAML,626,55,100,"Solution not structured as dict with code/explanation; Missing prevention section","Quality: 55/100, Schema: 100/100",High,30 min,MERGE
